Installed,Installed
"Update available","Update available"
"Output disabled","Output disabled"
"Magento Mode","Magento Mode"
"Magento Path","Magento Path"
"Current Time","Current Time"
"Server User","Server User"
"No cron jobs found","No cron jobs found"
"Learn more","Learn more"
"Cron (Last 5)","Cron (Last 5)"
"Extension version installed: ","Extension version installed: "
"Update is available and recommended. See the <a target=""_blank"" href=""%1"">Change Log</a>","Update is available and recommended. See the <a target=""_blank"" href=""%1"">Change Log</a>"
"Confused with configuration? No worries, please consult the <a target=""_blank"" href=""%1"">user guide</a> to properly configure the extension.","Confused with configuration? No worries, please consult the <a target=""_blank"" href=""%1"">user guide</a> to properly configure the extension."
"Incompatibility with the %1. To avoid the conflicts we strongly recommend turning off the 3rd party mod via the following command: ""%2""","Incompatibility with the %1. To avoid the conflicts we strongly recommend turning off the 3rd party mod via the following command: ""%2"""
"Problems detected:","Problems detected:"
"Amasty Extensions","Amasty Extensions"
"Extensions &amp; Notifications","Extensions &amp; Notifications"
"Installed Extensions","Installed Extensions"
"System Information","System Information"
